"xexist2"  "yexist2"  "xexist2"  "ynode"  "c#1"  "c#2"  "c#3"  "c#4"  "cannot-link"
"139"  0.357931527076289  5.29206320254711  0.357931527076289  5.04673279409876  0  1  0  0  0
"140"  0.862982032126794  0.318393023774945  0.862982032126794  0.682465150111341  0  0  1  0  0
"141"  3.38823455737932  5.13272851159403  3.38823455737932  5.12739677763151  1  0  0  0  0
"142"  3.89328506242982  0.064790468382993  3.89328506242982  0.0576568110374447  0  1  0  0  0
"143"  4.39833556748033  0.553607119553209  4.39833556748033  0.785562007295386  0  1  0  0  0
"144"  10.4589416280864  0.438015392747837  10.4589416280864  0.765628037274945  0  0  0  1  0
"145"  11.4690426381874  1.20695980808507  11.4690426381874  1.50677925215843  0  0  1  0  0
"146"  12.9841941533389  5.66544624247412  12.9841941533389  5.71428010209287  0  1  0  0  0
"147"  16.5195476886925  4.70042118543384  16.5195476886925  4.7959156278204  0  0  1  0  0
"148"  27.6306587998036  5.80215579711222  27.6306587998036  5.60522340957396  0  0  0  1  0
"149"  31.1660123351571  1.01964950065085  31.1660123351571  0.631348668522695  0  0  1  0  0
"150"  37.2266183957632  4.47877718885028  37.2266183957632  4.35658035617852  0  0  1  0  0
"151"  39.7518709210157  6.08129946142816  39.7518709210157  5.80338446353943  1  0  0  0  0
"152"  42.7821739513187  0.995691059368073  42.7821739513187  1.06630460147408  0  1  0  0  0
"153"  46.8225779917228  4.65852117158187  46.8225779917228  4.58670970347425  0  1  0  0  1
"154"  0.862982032126794  0.318393023774945  0.862982032126794  6.15770787220261  0  1  0  0  0
"155"  7.93368910283387  0.476167002577675  7.93368910283387  0.475270057680425  0  0  0  1  0
